"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2022","Total","Both Sexes","Abilene (TX)","City proper","Estimate - de jure","Final figure, complete","2023","127385","1"
"United States of America","2022","Total","Both Sexes","Akron (OH)","City proper","Estimate - de jure","Final figure, complete","2023","188509","1"
"United States of America","2022","Total","Both Sexes","Albany (NY)","City proper","Estimate - de jure","Final figure, complete","2023","100826","1"
"United States of America","2022","Total","Both Sexes","Albuquerque (NM)","City proper","Estimate - de jure","Final figure, complete","2023","561008","1"
"United States of America","2022","Total","Both Sexes","Alexandria (VA)","City proper","Estimate - de jure","Final figure, complete","2023","155525","1"
"United States of America","2022","Total","Both Sexes","Allen (TX)","City proper","Estimate - de jure","Final figure, complete","2023","111551","1"
"United States of America","2022","Total","Both Sexes","Allentown (PA)","City proper","Estimate - de jure","Final figure, complete","2023","125094","1"
"United States of America","2022","Total","Both Sexes","Amarillo (TX)","City proper","Estimate - de jure","Final figure, complete","2023","201291","1"
"United States of America","2022","Total","Both Sexes","Anaheim (CA)","City proper","Estimate - de jure","Final figure, complete","2023","344461","1"
"United States of America","2022","Total","Both Sexes","Anchorage (AK)","City proper","Estimate - de jure","Final figure, complete","2023","287145","1"
"United States of America","2022","Total","Both Sexes","Ann Arbor (MI)","City proper","Estimate - de jure","Final figure, complete","2023","119875","1"
"United States of America","2022","Total","Both Sexes","Antioch (CA)","City proper","Estimate - de jure","Final figure, complete","2023","115264","1"
"United States of America","2022","Total","Both Sexes","Arlington (TX)","City proper","Estimate - de jure","Final figure, complete","2023","394602","1"
"United States of America","2022","Total","Both Sexes","Arvada (CO)","City proper","Estimate - de jure","Final figure, complete","2023","121581","1"
"United States of America","2022","Total","Both Sexes","Athens (GA)","City proper","Estimate - de jure","Final figure, complete","2023","128561","1"
"United States of America","2022","Total","Both Sexes","Atlanta (GA)","City proper","Estimate - de jure","Final figure, complete","2023","499127","1"
"United States of America","2022","Total","Both Sexes","Augusta (GA)","City proper","Estimate - de jure","Final figure, complete","2023","202096","1"
"United States of America","2022","Total","Both Sexes","Aurora (CO)","City proper","Estimate - de jure","Final figure, complete","2023","393537","1"
"United States of America","2022","Total","Both Sexes","Aurora (IL)","City proper","Estimate - de jure","Final figure, complete","2023","177866","1"
"United States of America","2022","Total","Both Sexes","Austin (TX)","City proper","Estimate - de jure","Final figure, complete","2023","974447","1"
"United States of America","2022","Total","Both Sexes","Bakersfield (CA)","City proper","Estimate - de jure","Final figure, complete","2023","410647","1"
"United States of America","2022","Total","Both Sexes","Baltimore (MD)","City proper","Estimate - de jure","Final figure, complete","2023","569931","1"
"United States of America","2022","Total","Both Sexes","Baton Rouge (LA)","City proper","Estimate - de jure","Final figure, complete","2023","221453","1"
"United States of America","2022","Total","Both Sexes","Beaumont (TX)","City proper","Estimate - de jure","Final figure, complete","2023","112089","1"
"United States of America","2022","Total","Both Sexes","Bellevue (WA)","City proper","Estimate - de jure","Final figure, complete","2023","152767","1"
"United States of America","2022","Total","Both Sexes","Bend (OR)","City proper","Estimate - de jure","Final figure, complete","2023","103254","1"
"United States of America","2022","Total","Both Sexes","Berkeley (CA)","City proper","Estimate - de jure","Final figure, complete","2023","118950","1"
"United States of America","2022","Total","Both Sexes","Billings (MT)","City proper","Estimate - de jure","Final figure, complete","2023","119960","1"
"United States of America","2022","Total","Both Sexes","Birmingham (AL)","City proper","Estimate - de jure","Final figure, complete","2023","196910","1"
"United States of America","2022","Total","Both Sexes","Boise City (ID)","City proper","Estimate - de jure","Final figure, complete","2023","236634","1"
"United States of America","2022","Total","Both Sexes","Boston (MA)","City proper","Estimate - de jure","Final figure, complete","2023","650706","1"
"United States of America","2022","Total","Both Sexes","Boulder (CO)","City proper","Estimate - de jure","Final figure, complete","2023","105485","1"
"United States of America","2022","Total","Both Sexes","Bridgeport (CT)","City proper","Estimate - de jure","Final figure, complete","2023","148377","1"
"United States of America","2022","Total","Both Sexes","Brockton (MA)","City proper","Estimate - de jure","Final figure, complete","2023","104826","1"
"United States of America","2022","Total","Both Sexes","Broken Arrow (OK)","City proper","Estimate - de jure","Final figure, complete","2023","117911","1"
"United States of America","2022","Total","Both Sexes","Brownsville (TX)","City proper","Estimate - de jure","Final figure, complete","2023","189382","1"
"United States of America","2022","Total","Both Sexes","Buckeye (AZ)","City proper","Estimate - de jure","Final figure, complete","2023","105567","1"
"United States of America","2022","Total","Both Sexes","Buffalo (NY)","City proper","Estimate - de jure","Final figure, complete","2023","276486","1"
"United States of America","2022","Total","Both Sexes","Burbank (CA)","City proper","Estimate - de jure","Final figure, complete","2023","103920","1"
"United States of America","2022","Total","Both Sexes","Carlsbad (CA)","City proper","Estimate - de jure","Final figure, complete","2023","114160","1"
"United States of America","2022","Total","Both Sexes","Carmel (IN)","City proper","Estimate - de jure","Final figure, complete","2023","101964","1"
"United States of America","2022","Total","Both Sexes","Cambridge (MA)","City proper","Estimate - de jure","Final figure, complete","2023","118488","1"
"United States of America","2022","Total","Both Sexes","Cape Coral (FL)","City proper","Estimate - de jure","Final figure, complete","2023","216992","1"
"United States of America","2022","Total","Both Sexes","Carrollton (TX)","City proper","Estimate - de jure","Final figure, complete","2023","133820","1"
"United States of America","2022","Total","Both Sexes","Cary (NC)","City proper","Estimate - de jure","Final figure, complete","2023","180388","1"
"United States of America","2022","Total","Both Sexes","Cedar Rapids (IA)","City proper","Estimate - de jure","Final figure, complete","2023","136429","1"
"United States of America","2022","Total","Both Sexes","Centennial (CO)","City proper","Estimate - de jure","Final figure, complete","2023","105865","1"
"United States of America","2022","Total","Both Sexes","Chandler (AZ)","City proper","Estimate - de jure","Final figure, complete","2023","280711","1"
"United States of America","2022","Total","Both Sexes","Charleston (SC)","City proper","Estimate - de jure","Final figure, complete","2023","153672","1"
"United States of America","2022","Total","Both Sexes","Charlotte (NC)","City proper","Estimate - de jure","Final figure, complete","2023","897720","1"
"United States of America","2022","Total","Both Sexes","Chattanooga (TN)","City proper","Estimate - de jure","Final figure, complete","2023","184086","1"
"United States of America","2022","Total","Both Sexes","Chesapeake (VA)","City proper","Estimate - de jure","Final figure, complete","2023","252488","1"
"United States of America","2022","Total","Both Sexes","Chicago (IL)","City proper","Estimate - de jure","Final figure, complete","2023","2665039","1"
"United States of America","2022","Total","Both Sexes","Chico (CA)","City proper","Estimate - de jure","Final figure, complete","2023","101299","1"
"United States of America","2022","Total","Both Sexes","Chula Vista (CA)","City proper","Estimate - de jure","Final figure, complete","2023","279170","1"
"United States of America","2022","Total","Both Sexes","Cincinnati (OH)","City proper","Estimate - de jure","Final figure, complete","2023","309513","1"
"United States of America","2022","Total","Both Sexes","Clarksville (TN)","City proper","Estimate - de jure","Final figure, complete","2023","176974","1"
"United States of America","2022","Total","Both Sexes","Clearwater (FL)","City proper","Estimate - de jure","Final figure, complete","2023","117027","1"
"United States of America","2022","Total","Both Sexes","Cleveland (OH)","City proper","Estimate - de jure","Final figure, complete","2023","361607","1"
"United States of America","2022","Total","Both Sexes","Clovis (CA)","City proper","Estimate - de jure","Final figure, complete","2023","124556","1"
"United States of America","2022","Total","Both Sexes","College Station (TX)","City proper","Estimate - de jure","Final figure, complete","2023","124319","1"
"United States of America","2022","Total","Both Sexes","Colorado Springs (CO)","City proper","Estimate - de jure","Final figure, complete","2023","486248","1"
"United States of America","2022","Total","Both Sexes","Columbia (MO)","City proper","Estimate - de jure","Final figure, complete","2023","128555","1"
"United States of America","2022","Total","Both Sexes","Columbia (SC)","City proper","Estimate - de jure","Final figure, complete","2023","139698","1"
